character,pinyin,options,examples
房,fáng,jiān;chuāng;sī;fáng,房屋|楼房|房梁|厨房
帘,lián,lián;duì;yuàn;chù,窗帘|帘子
户,hù,hù;gāi;fàng;dòu,（窗户）|（千家万户）
视,shì,yuàn;bìng;shì;wèi,电（电话）（电视）|央（中央）（央视）|电（电视）（电话）
被,bèi,bèi;chéng;luó;táo,被（被动）（被子）|被（被动）（被子）|被（被子）（不被）（棉被）
间,jiān,jiān;yín;jūn;shuí,间（中间）（一间房）|房（房屋）（房间）
窗,chuāng,chuāng;wǔ;shōu;chǎng,帘（窗帘）（帘子）|窗（窗户）（窗花）|窗（窗户）（窗口）|擦（擦手）（擦窗
台,tái,tái;xiàng;dì;shuí,秤（台秤）（一杆秤）|秤（杆秤）（台秤）|灯（台灯）（灯光）|秤（地秤）（台秤）（大秤）
床,chuáng,diàn;kuài;cān;chuáng,床（起床）（木床）|蹦（蹦蹦跳跳）（蹦床）|起（起来）（起床）（起飞）
处,chù,chù;xiàng;dì;xíng,暗（暗中）（暗处）|深（深水）（深处）|处（到处）（到处）|难（莫非）（难处）
让,ràng,ràng;yín;dì;xié,让（让开）（礼让）
姐,jiě,jiě;chù;māo;shì,弟（弟弟）（姐弟）|妹（妹妹）（姐妹）
姨,yí,pén;yí;tái;hù,阿（阿姨）（阿爸）|姨（阿姨）（姨娘）
叔,shū,cān;yī;zhēn;shū,叔子
姑,gū,qún;fū;gū;jīn,娘（大娘）（姑娘）
对,duì,fàng;yǔ;lián;duì,针（针对）（针线）|哇（好哇）（对哇）|抗（对抗）（对抗）|比（好比）（对比）（比一比）（比如）（无比）
妹,mèi,fáng;kē;dòu;mèi,妹（妹妹）（姐妹）
伯,bó,yòng;fàng;yā;bó,伯子
亲,qīn,fū;jī;dì;qīn,朋（朋友）（亲朋好友）|乡（乡村）（乡亲）|亲（亲人）（亲热）|朋（朋友）（亲朋）（朋会）
餐,cān,cān;shuí;chéng;jūn,厅（客厅）（餐厅）
碗,wǎn,jiě;wǎn;zhù;lǐ,碗（碗筷）（大碗）
盖,gài,chù;lóu;gài;dì,天似穹庐，笼盖四野。
巾,jīn,jī;jīn;huà;bèi,围（包围）（围巾）|领（领子）（红领巾）|巾（毛巾）（红领巾）|围（围巾）（包围）
成,chéng,fū;chéng;huà;yuán,为（成为）（无所欲为）|浑（浑然天成）（浑水）|百（成百上千）（一百）|就（就是）（就要）（成绩）
盆,pén,shǔ;hù;pén;yuàn,澡（洗澡）(澡盆)|盆（脸盆）（水盆）
筷,kuài,māo;jiē;kuài;fàng,碗（碗筷）（大碗）
袋,dài,dài;dì;jiǎ;tái,脑（脑袋）（电脑）|袋（口袋）（袋子）
杯,bēi,chǎng;diàn;luó;bēi,杯子
用,yòng,kuài;bìng;háng;yòng,利（利益）（运用）|使（使用）（使者）|利（运用）（水利）|如果您需要使用本文档，请点击下载按钮下载!
像,xiàng,xiàng;jūn;māo;ne,像（好像）（不像）|似（好像）（类似）（似有）
菜,cài,cài;shāng;jiān;shū,炒（炒菜）（吵闹）|夹（夹菜）（夹住）
卜,bo,luó;nóng;dì;bo,拔（拔牙）（拔萝卜）|卜|（萝卜）
芋,yù,yù;tuō;wèi;chuáng,芋子
杏,xìng,xǐ;sǎo;táo;xìng,杏子
原,yuán,jīn;xǐ;yuán;quán,原（原来）（草原）|始（开始）（初始）（原始）
萝,luó,luó;mèi;fáng;shài,拔（拔牙）（拔萝卜）|（萝卜）
豆,dòu,sǔn;shǔ;dòu;fú,豆（大豆）（豆子）|土（风土）（土里）（国土）（土地）（土豆）
桃,táo,táo;fū;qīn;gāi,桃子
笋,sǔn,sǔn;lóu;luó;kē,笋子
扫,sǎo,yòng;yù;sǎo;jiāo,扫（扫地）（打扫）|墓（扫墓）（坟场）
拖,tuō,lián;tuō;qì;bìng,拖子
洗,xǐ,xǐ;tái;luó;chéng,脸（脸上）（洗脸）|清（清楚）（清洗）|洗（洗衣服）（洗手）|脸（脸蛋）（洗脸）
晒,shài,gū;jī;gài;shài,晒（晒干）（晾晒）
全,quán,dài;luó;quán;tuō,部编版二年级语文上册全册生字组词|套（手套）（全套）|周（周全）（周日）|安（安全）（平安）
地,dì,dì;chuáng;yuàn;yā,园地一|园地二|园地三|园地四
洒,sǎ,wǎn;gǒu;sǎ;duì,泼（泼洒）（泼水）|洒（洒水）（泼洒）|泼（泼水）（活泼）（泼洒）
服,fú,yuàn;fú;gǒu;pén,新（新衣服）（新年）|洗（洗衣服）（洗手）|衣（大衣）（上衣）（风衣）（毛衣）（衣服）
